epoch,batch_idx,timestamp,learning_rate,gradient_norm,mask_info,batch_time,imp_count_loss,obs_count_loss,imp_pval_loss,obs_pval_loss,imp_peak_loss,obs_peak_loss,total_loss,imp_count_r2_median,imp_count_spearman_median,imp_count_pearson_median,imp_count_mse_median,imp_count_perplexity_median,imp_pval_r2_median,imp_pval_spearman_median,imp_pval_pearson_median,imp_pval_mse_median,imp_pval_perplexity_median,imp_peak_auc_median,obs_count_r2_median,obs_count_spearman_median,obs_count_pearson_median,obs_count_mse_median,obs_count_perplexity_median,obs_pval_r2_median,obs_pval_spearman_median,obs_pval_pearson_median,obs_pval_mse_median,obs_pval_perplexity_median,obs_peak_auc_median,EMA_Imp_Pval_R2,EMA_Imp_Pval_SRCC,EMA_Imp_Pval_PCC,EMA_Imp_Count_R2,EMA_Imp_Count_SRCC,EMA_Imp_Count_PCC,EMA_Imp_Count_Loss,EMA_Obs_Count_Loss,EMA_Imp_Pval_Loss,EMA_Obs_Pval_Loss,EMA_Imp_Peak_AUC,EMA_Obs_Peak_AUC
1,0,2025-12-16T21:24:03.048149,5e-05,14.285954475402832,A:1.0/L:1.0/C:0.0,12.915212392807007,0.49489468336105347,0.11590644717216492,0.16563287377357483,-0.004370726179331541,0.000763200456276536,0.00044829401304014027,0.7732747793197632,-0.09320807456970215,0.09811661202745067,0.07942879945039749,0.6065802,2.3694061040878296,-0.24158483743667603,0.1386303984369781,0.12802456,0.06610953,1.063404381275177,0.0,0.09683579206466675,0.38910775358752564,0.4277627468109131,0.50800794,2.5869429111480713,-0.2633187770843506,0.39406193831069064,0.45562708377838135,0.06765646,1.0222606658935547,0.0,-0.24158483743667603,0.1386303984369781,0.12802456319332123,-0.09320807456970215,0.09811661202745067,0.07942879945039749,0.49489468336105347,0.11590644717216492,0.16563287377357483,-0.004370726179331541,0.0,0.0
1,1,2025-12-16T21:24:04.008841,6e-05,,A:1.0/L:1.0/C:0.0,0.8139374256134033,0.015286841429769993,0.003776721889153123,2.810957908630371,-0.06773530691862106,0.0001238378172274679,3.999932232545689e-05,2.7624499797821045,0.0,0.0,0.0,0.0014363681,1.0278337001800537,0.0,-0.23102951884792347,-0.2638036,0.01465172,2.3268048763275146,0.0,0.0,0.0,0.0,0.002012721,1.0293548107147217,0.0,0.0,0.0,0.0019457979,0.25475162267684937,0.0,-0.24037691324949265,0.1367820988505536,0.12606542237102983,-0.09274203419685363,0.09811661202745067,0.07942879945039749,0.49249664415139704,0.11534579854574986,0.1788594989478588,-0.004687549083027989,0.0,0.0
1,2,2025-12-16T21:24:05.431884,7.000000000000001e-05,inf,A:1.0/L:1.0/C:0.0,1.3899035453796387,0.5610103011131287,0.11282975971698761,2.4320874214172363,-0.0013276549289003015,0.02250615507364273,0.003211449598893523,3.130317449569702,-0.011368513107299805,0.2381936873893578,0.3735964000225067,0.64331603,2.2079672813415527,0.1355816125869751,0.23614728592908527,0.4736637,0.112972654,1.2711026668548584,0.938683008356546,0.25042206048965454,0.36532680486257324,0.5609105825424194,0.7169398,2.104985237121582,0.3621792793273926,0.33020239345450253,0.6488932371139526,0.11514326,0.9409679174423218,0.9854199128692721,-0.2384971206203103,0.13727892478594625,0.12780341369770465,-0.09233516659140585,0.0988169974042602,0.08089963745325804,0.4928392124362057,0.11533321835160605,0.19012563856020567,-0.004670749612257351,0.938683008356546,0.9854199128692721
1,3,2025-12-16T21:24:06.568672,8e-05,10.013177871704102,A:1.0/L:1.0/C:0.0,1.1170313358306885,0.2565554082393646,0.06281920522451401,-0.3252851963043213,-0.11422201246023178,0.00035447589471004903,0.00011168375931447372,-0.1196664348244667,-0.05041623115539551,0.10805798811727102,0.10727223008871078,0.2126585,1.582672357559204,-0.10083723068237305,0.14308038406470058,0.14169572,0.022822969,0.7778406739234924,0.0,0.04448670148849487,0.2220539461293892,0.25423434376716614,0.18901336,1.577498435974121,-0.0962020754814148,0.2440207003700558,0.3221004605293274,0.017509667,0.5548750758171082,0.9984787541254125,-0.2378088211706206,0.13730793208234005,0.12787287524390406,-0.0921255719142258,0.09886320235782525,0.08103150041643531,0.49165779341522153,0.11507064828597059,0.18754858438588304,-0.005218505926497223,0.938683008356546,0.9854852070755529
1,4,2025-12-16T21:24:07.967372,9e-05,27.59360694885254,A:1.0/L:1.0/C:0.0,1.3666412830352783,0.32297006249427795,0.06264182180166245,0.18438297510147095,0.055252209305763245,0.0038021968211978674,0.00010644179565133527,0.629155695438385,0.007199138402938843,0.26115088744502823,0.26802510023117065,0.24383849,1.7556853294372559,0.04584643244743347,0.33376594302383483,0.389713,0.058589853,1.0723443031311035,0.0,0.04497441649436951,0.26108025589158607,0.36230987310409546,0.1880136,1.6096444129943848,0.04939848184585571,0.330774322031009,0.4209147095680237,0.059186604,0.9077144265174866,0.0,-0.23639054490253034,0.1382902221370475,0.129182075814336,-0.09162894836263998,0.09967464078326127,0.08196646841550899,0.4908143547606168,0.11480850415354905,0.18753275633946098,-0.00491615235033592,0.938683008356546,0.9854852070755529
1,5,2025-12-16T21:24:09.142619,0.0001,,A:1.0/L:1.0/C:0.0,1.1131670475006104,0.018487192690372467,0.0040855868719518185,5.476708889007568,1.5821256637573242,0.00020537141244858503,4.628862370736897e-05,7.081658840179443,0.0,0.0,0.0,0.0029077579,1.0344672203063965,0.0,0.6492077131251367,0.6842963,0.009107961,1.029674768447876,0.0,0.0,0.0,0.0,0.0020147662,1.0330746173858643,0.0,0.11381442596234766,0.133544459939003,0.005941019,0.3352589011192322,0.0,-0.23520859217801768,0.14084480959198795,0.13195764698500415,-0.09117080362082677,0.09967464078326127,0.08196646841550899,0.4884527189502656,0.11425488956714107,0.21397863700280154,0.003019056730202381,0.938683008356546,0.9854852070755529
1,6,2025-12-16T21:24:22.740148,9.992096792939448e-05,64.52342987060547,A:1.0/L:1.0/C:0.0,1.550049066543579,0.4303005635738373,0.09246612340211868,2.235891103744507,0.16703972220420837,0.03359208628535271,0.0049442145973443985,2.964233636856079,0.22156214714050293,0.2619126506556148,0.501157283782959,0.5707245,1.9323920011520386,0.26819711923599243,0.20698558949602106,0.5758838,0.10878211,1.0265778303146362,0.9975958739632256,0.2972869873046875,0.31837476884135735,0.5742473602294922,0.75389105,1.9225040674209595,0.2785859704017639,0.30028474903138697,0.5991193056106567,0.103799455,0.9397239685058594,0.9925310840461729,-0.23269156362094764,0.14117551349150811,0.13417727777883812,-0.08960713886702013,0.10048583083262304,0.08406242249234624,0.4881619581733835,0.11414594573631595,0.22408819933651006,0.003839160057572411,0.9389775726845793,0.985520436460406
1,7,2025-12-16T21:24:23.531924,9.968414932060826e-05,41.66719055175781,A:1.0/L:1.0/C:0.0,0.7757558822631836,0.25281816720962524,0.06174561753869057,0.5373652577400208,-0.08655765652656555,0.0207695160061121,0.004015092737972736,0.7901560068130493,-0.008398056030273438,0.1302991272358395,0.1277986764907837,0.26479438,1.819966435432434,-0.12906813621520996,0.19898080266361223,0.17009673,0.07000116,1.2605359554290771,0.6389115030906075,0.19890651106834412,0.2970833300985315,0.5269298553466797,0.26734748,1.6607928276062012,0.12487614154815674,0.24744452176879933,0.546564519405365,0.06903221,0.9686636626720428,0.8937392442610261,-0.23217344648391897,0.14146453993736863,0.13435687501607116,-0.08920109345283639,0.10063489731463912,0.08428110376233844,0.4869852392185647,0.11388394409532783,0.2256545846285276,0.0033871759746517214,0.9374772423366095,0.985061530499409
1,8,2025-12-16T21:24:25.024891,9.929037600764186e-05,10.12292194366455,A:1.0/L:1.0/C:0.0,1.4807231426239014,0.28330284357070923,0.06856580078601837,-0.14600394666194916,-0.056306738406419754,0.0027614361606538296,0.0008633707766421139,0.1531827747821808,-0.584228515625,0.2563173211409364,0.2795175611972809,0.29765204,1.6438599824905396,-0.6564866304397583,0.21151452494004402,0.36202234,0.0682686,0.9309986233711243,0.9862234288354897,-0.782414436340332,0.2724474425700042,0.33320730924606323,0.2938884,1.6082047820091248,-0.8543693423271179,0.20397044894830174,0.4273613393306732,0.068300694,0.8344671428203583,0.9846132053078508,-0.23429501240369816,0.141814789862382,0.13549520234247928,-0.0916762305636972,0.10141330943377061,0.08525728604951316,0.4859668272403254,0.11365735337878129,0.22379629197207523,0.003088706402746364,0.9377209732691039,0.9850592888734512
1,9,2025-12-16T21:24:26.413826,9.874103113361848e-05,12.761751174926758,A:1.0/L:1.0/C:0.0,1.3743221759796143,0.02151106484234333,0.004276671446859837,-1.7337766885757446,-0.33401912450790405,0.00018579217430669814,2.7075760954176076e-05,-2.041795253753662,0.0,0.0,0.0,0.00346668,1.0395902395248413,0.0,0.5790571271672451,0.6712206,0.0030382161,0.2510732114315033,0.0,0.0,0.0,0.0,0.002454773,1.0352991819381714,0.0,0.8129384061869299,0.7986751198768616,0.0028506485,0.2664700597524643,0.0,-0.23312353734167968,0.1440010015489063,0.13817382933379194,-0.09121784941087871,0.10141330943377061,0.08525728604951316,0.4836445484283355,0.11311044996912167,0.21400842706933612,0.0014031672481931122,0.9377209732691039,0.9850592888734512
