epoch,batch_idx,timestamp,learning_rate,gradient_norm,mask_info,batch_time,imp_count_loss,obs_count_loss,imp_pval_loss,obs_pval_loss,imp_peak_loss,obs_peak_loss,total_loss,imp_count_r2_median,imp_count_spearman_median,imp_count_pearson_median,imp_count_mse_median,imp_count_mae_median,imp_count_mae_r2_median,imp_count_perplexity_median,imp_pval_r2_median,imp_pval_spearman_median,imp_pval_pearson_median,imp_pval_mse_median,imp_pval_mae_median,imp_pval_mae_r2_median,imp_pval_perplexity_median,imp_peak_auc_median,obs_count_r2_median,obs_count_spearman_median,obs_count_pearson_median,obs_count_mse_median,obs_count_mae_median,obs_count_mae_r2_median,obs_count_perplexity_median,obs_pval_r2_median,obs_pval_spearman_median,obs_pval_pearson_median,obs_pval_mse_median,obs_pval_mae_median,obs_pval_mae_r2_median,obs_pval_perplexity_median,obs_peak_auc_median,dsf_upsampled_count,dsf_downsampled_count,dsf_same_count,control_non1_count,train_st_depth_ratio,train_st_runtype_mse,train_st_readlen_mse,EMA_Imp_Pval_R2,EMA_Imp_Pval_SRCC,EMA_Imp_Pval_PCC,EMA_Imp_Pval_MAE_R2,EMA_Imp_Count_R2,EMA_Imp_Count_SRCC,EMA_Imp_Count_PCC,EMA_Imp_Count_MAE_R2,EMA_Obs_Pval_MAE_R2,EMA_Obs_Count_MAE_R2,EMA_Imp_Count_Loss,EMA_Obs_Count_Loss,EMA_Imp_Pval_Loss,EMA_Obs_Pval_Loss,EMA_Imp_Peak_AUC,EMA_Obs_Peak_AUC
1,0,2026-04-11T16:58:05.248119,0.001,135.45553588867188,A:1.0/L:0.5/C:0.0,5.62016749382019,3.8604507446289062,0.35876229405403137,1.2857744693756104,0.3155825734138489,0.1902066469192505,0.044145550578832626,6.054922103881836,-1.9618940353393555,-0.017845742951048956,-0.08349859,4.010185,1.4463521,-0.6719448566436768,13.227457046508789,-2.383378505706787,-0.12139406176870801,-0.09216423,0.28101447,0.46795416,-1.2584660053253174,3.918654680252075,0.3352559480894016,-3.016791820526123,0.003102025143952879,-0.07391974,2.2730246,1.1303439,-0.6982611417770386,7.544231414794922,-5.562984943389893,0.0016721601417066146,-0.0045816824,0.2345934,0.43764853,-2.121218681335449,3.6058709621429443,0.0,0,0,60,0,,,,-2.383378505706787,-0.12139406176870801,-0.09216423332691193,-1.2584660053253174,-1.9618940353393555,-0.017845742951048956,-0.08349858969449997,-0.6719448566436768,-2.121218681335449,-0.6982611417770386,3.8604507446289062,0.35876229405403137,1.2857744693756104,0.3155825734138489,0.3352559480894016,0.0
1,1,2026-04-11T16:58:05.431329,0.001,18.81203842163086,A:1.0/L:0.5/C:0.0,0.10780739784240723,0.9987026453018188,0.3622695207595825,1.2766751050949097,0.3114388883113861,0.19081135094165802,0.046004585921764374,3.1859023571014404,-0.3833320140838623,0.009678908231006127,-0.015531387,1.5838157,1.020793,-0.13356614112854004,4.18703556060791,-2.667213201522827,0.023697516665329346,0.045968622,0.3482686,0.5258891,-1.0657618045806885,3.3959202766418457,0.0,-0.6753486394882202,0.058168360215988785,0.04089947,1.7298832,1.0509968,-0.23098766803741455,4.57130765914917,-3.488989472389221,-0.008695652173913042,-0.0074325786,0.28623146,0.44663733,-1.2375202178955078,3.4073086977005005,0.0,0,0,53,0,,,,-2.3847976791858674,-0.12066860387653781,-0.09147356905043126,-1.257502484321594,-1.9540012252330778,-0.01770811969513868,-0.08315875368192792,-0.669252963066101,-2.1168001890182495,-0.6959247744083404,3.846142004132271,0.35877983018755916,1.2857289725542067,0.31556185498833655,0.3352559480894016,0.0
1,2,2026-04-11T16:58:05.574684,0.001,9.103384971618652,A:1.0/L:0.5/C:0.0,0.1374647617340088,0.7279360294342041,0.17102861404418945,1.143528938293457,0.3231525719165802,0.13191938400268555,0.04359256848692894,2.5411581993103027,-0.6003633141517639,-0.011454915692704449,-0.03961357,0.8768915,0.78148055,-0.3813231587409973,3.3609442710876465,-2.551187515258789,0.011341647956382525,0.029625304,0.180693,0.3923553,-1.180179238319397,3.1445863246917725,0.0,-0.1810246706008911,0.017615523339092658,0.016013071,1.9585112,1.1924589,-0.1705458164215088,3.3630452156066895,-4.819703578948975,0.008963232931176292,-0.0062447023,0.14033915,0.3501724,-2.8464515209198,3.750403881072998,0.7822916666666666,0,0,42,0,,,,-2.3856296283662317,-0.1200085526173732,-0.09086807468496264,-1.257115868091583,-1.9472330356776713,-0.01767685367512651,-0.08294102776860818,-0.6678133140444755,-2.120448445677757,-0.6932978796184063,3.830550974258781,0.3578410741068423,1.285017972382903,0.3155998085729778,0.3352559480894016,0.7822916666666666
1,3,2026-04-11T16:58:05.713058,0.001,13.36369800567627,A:1.0/L:0.5/C:0.0,0.13510370254516602,0.505818247795105,0.1412072777748108,1.3316203355789185,0.3300531208515167,0.17395839095115662,0.04421866685152054,2.5268759727478027,-1.592592716217041,0.0005363005919078226,-0.044506177,0.9885488,0.8783215,-0.9516799449920654,2.1076602935791016,-5.449106216430664,0.0014653758164053583,0.0072474955,0.16577482,0.38673306,-2.520376682281494,3.8035999536514282,0.0,-0.15702712535858154,-0.056093125666098635,-0.09275094,0.783978,0.85335255,-0.4186716079711914,2.459781289100647,-4.97313380241394,0.044510384684139676,0.0065557705,0.15768081,0.3763153,-2.052913784980774,3.797227621078491,0.0,0,0,78,0,,,,-2.400947011306554,-0.1194011829752043,-0.09037749683421292,-1.2634321721625326,-1.9454598340803682,-0.01758578790379134,-0.08274885351629602,-0.6692326471992134,-2.120110772374272,-0.6919247482601703,3.8139273106264624,0.35675790512518213,1.285250984198883,0.3156720751343705,0.3352559480894016,0.7822916666666666
